169,3,1,0,1,D
033,4,0,1,0,D
172,2,0,0,1,D
006,5,0,1,1,D
115,5,0,1,1,D
185,3,0,1,1,D
070,3,0,1,1,D
163,1,0,0,1,D
146,5,0,1,0,D
011,4,0,1,1,D
057,4,0,1,1,D
015,3,0,1,0,D
134,0,0,1,1,D
137,0,0,0,1,D
062,3,0,0,1,D
016,5,0,1,1,D
199,3,0,0,1,D
102,2,0,1,1,D
144,5,0,1,1,D
133,2,0,1,1,D
039,2,0,1,1,D
054,5,1,1,0,D
026,4,1,1,1,D
074,1,0,0,1,D
048,0,0,0,1,D
192,5,0,1,1,D
136,4,0,1,0,D
076,3,0,0,1,D
145,3,0,1,0,D
174,3,0,0,0,D
003,5,0,1,1,D
046,0,0,1,1,D
063,2,0,1,1,D
051,1,1,0,1,D
162,0,0,0,1,D
138,4,0,1,0,D
176,4,0,1,1,D
121,0,0,0,1,D
117,1,0,1,1,D
158,5,0,1,1,D
071,2,0,1,1,D
128,2,1,0,1,D
073,1,0,1,1,D
041,3,0,0,1,D
188,3,0,1,0,D
180,0,0,1,1,D
022,5,0,1,0,D
077,1,0,1,1,D
166,2,0,0,1,D
083,2,0,1,1,D
107,0,0,1,1,D
081,2,0,1,1,D
056,3,0,1,0,D
195,0,0,0,1,D
130,5,0,1,1,D
042,1,0,0,1,D
078,4,0,1,1,D
191,5,0,1,1,D
086,1,0,1,1,D
179,0,0,1,1,D
084,4,0,1,1,D
097,4,0,1,0,D
127,5,0,1,0,D
198,0,0,1,1,D
150,5,0,1,1,D
030,1,1,0,1,D
153,5,0,1,1,D
036,5,0,1,0,D
095,0,0,1,1,D
060,0,0,1,1,D
100,3,0,1,1,D
122,5,0,1,1,D
140,0,0,0,1,D
061,1,0,1,1,D
053,0,0,1,1,D
002,4,0,1,1,D
200,0,0,0,1,D
177,0,0,1,1,D
098,5,0,1,0,D
021,3,0,0,0,D
101,2,0,0,1,D
008,3,0,1,1,D
017,4,0,1,0,D
103,1,0,1,1,D
193,2,0,0,1,D
152,0,1,0,1,D
157,1,0,0,1,D
119,1,0,1,1,D
027,2,1,0,1,D
007,2,0,0,1,D
069,0,0,0,1,D
038,2,1,0,1,D
082,2,0,1,1,D
118,3,0,1,1,D
170,5,0,1,1,D
019,1,1,0,1,D
165,5,0,1,0,D
093,5,0,1,1,D
058,3,0,0,0,D
126,2,1,1,1,D
034,1,1,1,1,D
135,3,0,0,0,D
040,5,0,1,1,D
108,3,0,1,1,D
132,1,0,0,1,D
114,4,0,1,1,D
120,1,0,1,1,D
045,5,0,1,0,D
032,0,1,1,1,D
116,0,0,0,1,D
181,4,0,1,1,D
044,1,0,1,1,D
075,0,0,1,1,D
178,3,0,1,1,D
187,2,0,0,1,D
004,3,0,1,0,D
143,5,0,1,0,D
189,5,0,1,0,D
064,1,0,0,1,D
066,1,0,1,1,D
050,4,0,1,0,D
159,0,0,0,1,D
031,0,0,1,1,D
035,2,1,1,1,D
096,1,0,0,1,D
